RANGO DIST,RENOVACIÒ,TIPO DE RI,BLOQUE COS,mean,DISTANCIAM,CICLO,FECHA CORT,TIPO COSEC,AREA CAÑA,FINCA,TCH 23-24,EDAD COSEC,FECHA CO_1,VARIEDAD,Name,ESTIMADO 2,TIPO DE SU,OBJECTID,FECHA COSE,UBICACIÒN,Area Calc,EDAD HOY,DISTRITO,fid,ESTATUS,TIPO DE CO,SEMAN COSE,SEMANA COS,LOTE_ID
<10,,SEMIFIJO,RAL BLOQ18,0.5377355669055729,1.5,R1,01/05/2024,COSECHA MECANICA,8.83,RANCHO ALEGRE,75.4,11.97,01/05/2024,CP89-2143,RAL026,92,ARC,566,12/29/2024,CENTRO,8.836,235,D32,385,Comercial,COSECHA MECANICA,7,5,RAL026
<10,,SEMIFIJO,RAL BLOQ7,0.47868314723210736,1.6,R1,12/22/2023,COSECHA MECANICA,8.17,RANCHO ALEGRE,89.71,11.97,12/22/2023,CP72-2086,RAL027,90,ARC,567,12/15/2024,CENTRO,6.96,249,D32,386,Comercial,COSECHA MECANICA,4,3,RAL027
<10,,SEMIFIJO,RAL BLOQ7,0.4923291989537057,1.6,R1,12/22/2023,COSECHA MECANICA,8.17,RANCHO ALEGRE,89.71,11.97,12/22/2023,CP72-2086,RAL027,90,ARC,568,12/15/2024,CENTRO,1.213,249,D32,387,Comercial,COSECHA MECANICA,4,3,RAL027
<10,,SEMIFIJO,RAL BLOQ7,0.5017716660643897,1.5,R1,12/15/2023,COSECHA MECANICA,6.79,RANCHO ALEGRE,122.75,12.2,12/15/2023,CP73-1547,RAL028,120,FARC,569,12/15/2024,CENTRO,1.718,256,D32,388,Comercial,COSECHA MECANICA,4,3,RAL028
<10,,SEMIFIJO,RAL BLOQ7,0.40620773504963975,1.5,R1,12/15/2023,COSECHA MECANICA,6.79,RANCHO ALEGRE,122.75,12.2,12/15/2023,CP73-1547,RAL028,120,FARC,570,12/15/2024,CENTRO,5.082,256,D32,389,Comercial,COSECHA MECANICA,4,3,RAL028
<10,,SEMIFIJO,RAL BLOQ7,0.5837404651208692,1.6,R1,12/19/2023,COSECHA MECANICA,7.39,RANCHO ALEGRE,118.47,12.07,12/19/2023,CG02-163,RAL029,115,ARC,571,12/15/2024,CENTRO,7.391,252,D32,390,Comercial,COSECHA MECANICA,4,3,RAL029
<10,,SEMIFIJO,RAL BLOQ7,0.5222958238275474,1.5,R1,12/19/2023,COSECHA MECANICA,7.03,RANCHO ALEGRE,99.51,12.07,12/19/2023,CP73-1547,RAL030,100,ARC,572,12/15/2024,CENTRO,7.038,252,D32,391,Comercial,COSECHA MECANICA,3,3,RAL030
<10,,SEMIFIJO,RAL BLOQ7,0.6976011984580831,1.5,R1,12/31/2023,MANUAL,6.41,RANCHO ALEGRE,126.3,11.9,12/31/2023,CG00-102,RAL031,125,ARC,573,12/22/2024,CENTRO,6.143,240,D32,392,Comercial,MANUAL,3,4,RAL031
<10,,SEMIFIJO,RAL BLOQ7,0.5687101489561969,1.5,R1,12/31/2023,MANUAL,6.41,RANCHO ALEGRE,126.3,11.9,12/31/2023,CG00-102,RAL031,125,ARC,574,12/22/2024,CENTRO,0.275,240,D32,393,Comercial,MANUAL,3,4,RAL031
<10,,SEMIFIJO,RAL BLOQ8,0.2564002386407183,1.5,R1,12/20/2023,COSECHA MECANICA,7.45,RANCHO ALEGRE,82.28,12.03,12/20/2023,CP72-2086,RAL032,80,ARC,575,12/15/2024,CENTRO,1.349,251,D32,394,Comercial,COSECHA MECANICA,3,3,RAL032
<10,,SEMIFIJO,RAL BLOQ8,0.2207747763086956,1.5,R1,12/20/2023,COSECHA MECANICA,7.45,RANCHO ALEGRE,82.28,12.03,12/20/2023,CP72-2086,RAL032,80,ARC,576,12/15/2024,CENTRO,6.111,251,D32,395,Comercial,COSECHA MECANICA,3,3,RAL032
<10,,SEMIFIJO,RAL BLOQ8,0.4663916967484307,1.5,R1,12/28/2023,COSECHA MECANICA,6.87,RANCHO ALEGRE,94.83,11.77,12/28/2023,CP73-1547,RAL033,92,FARC,577,12/15/2024,CENTRO,6.875,243,D32,396,Comercial,COSECHA MECANICA,5,3,RAL033
<10,,SEMIFIJO,RAL BLOQ8,0.501405870103157,1.6,R1,12/27/2023,COSECHA MECANICA,8.07,RANCHO ALEGRE,98.05,11.8,12/27/2023,CG02-163,RAL034,95,ARC,578,12/15/2024,CENTRO,0.304,244,D32,397,Comercial,COSECHA MECANICA,2,3,RAL034
<10,,SEMIFIJO,RAL BLOQ8,0.5700636885024731,1.6,R1,12/27/2023,COSECHA MECANICA,8.07,RANCHO ALEGRE,98.05,11.8,12/27/2023,CG02-163,RAL034,95,ARC,579,12/15/2024,CENTRO,7.776,244,D32,398,Comercial,COSECHA MECANICA,2,3,RAL034
<10,,SEMIFIJO,RAL BLOQ8,0.6556760076267197,1.5,R1,12/22/2023,COSECHA MECANICA,15.77,RANCHO ALEGRE,133.36,11.97,12/22/2023,CG00-102,RAL035,60,ARC,580,12/15/2024,CENTRO,6.28,249,D32,399,Semillero,COSECHA MECANICA,3,3,RAL035
<10,,SEMIFIJO,RAL BLOQ8,0.5328533592306703,1.5,R1,12/22/2023,COSECHA MECANICA,15.77,RANCHO ALEGRE,133.36,11.97,12/22/2023,CG00-102,RAL035,60,ARC,581,12/15/2024,CENTRO,9.505,249,D32,400,Semillero,COSECHA MECANICA,3,3,RAL035
<10,,SEMIFIJO,RAL BLOQ9,0.4610928563313946,1.5,R1,12/22/2023,COSECHA MECANICA,8.25,RANCHO ALEGRE,106.82,11.97,12/22/2023,CP73-1547,RAL036,105,ARC,582,12/15/2024,CENTRO,8.254,249,D32,401,Comercial,COSECHA MECANICA,3,3,RAL036
<10,,SEMIFIJO,RAL BLOQ9,0.2339475001222525,1.5,R1,12/23/2023,MANUAL,7.56,RANCHO ALEGRE,105.37,11.93,12/23/2023,CG00-102,RAL037,100,ARC,583,12/15/2024,CENTRO,1.349,248,D32,402,Comercial,COSECHA MECANICA,3,3,RAL037
